"objectId","objectName","Activity","Description"
"131686","Carré du Roi","marche","0.0"
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"71","43.607905","3.887323","73.0","106.0","5.4601","2014-04-10T10:32:29.648Z"
"72","43.607905","3.887323","73.0","106.0","5.4601","2014-04-10T10:32:42.039Z"
"73","43.608088","3.887946","0.0","0.0","0.0","2014-04-10T10:32:52.929Z"
"74","43.608093","3.889091","72.0","95.0","4.272","2014-04-10T10:32:59.534Z"
"75","43.608085","3.889329","66.0","93.0","1.9526","2014-04-10T10:33:04.649Z"
"76","43.608064","3.889321","0.0","0.0","0.0","2014-04-10T10:33:29.694Z"
"77","43.608055","3.88928","0.0","0.0","0.0","2014-04-10T10:33:34.642Z"
"78","43.608089","3.889369","0.0","0.0","0.0","2014-04-10T10:33:39.642Z"
"79","43.608094","3.889422","0.0","0.0","0.0","2014-04-10T10:33:44.645Z"
"80","43.608097","3.889472","0.0","0.0","0.0","2014-04-10T10:33:49.647Z"
"81","43.608144","3.889547","0.0","0.0","0.0","2014-04-10T10:33:56.864Z"
"82","43.608119","3.889598","0.0","0.0","0.0","2014-04-10T10:34:16.343Z"
