"objectId","objectName","Activity","Description"
"131687","Christophe 10/04/2014","marche",""
"Point","Latitude (degrés)","Longitude (degrés)","Altitude (m)","Relèvement (degrés)","Vitesse (m/s)","Durée"
"66","43.608572","3.879219","86.90507507324219","161.0","1.381","2014-04-10T10:38:37.019Z"
"67","43.608553","3.879303","86.23518371582031","151.0","1.2116","2014-04-10T10:38:42.996Z"
"68","43.608521","3.87938","86.16287231445313","141.0","1.1322","2014-04-10T10:38:48.910Z"
"69","43.608475","3.879407","86.2939453125","181.0","1.1689","2014-04-10T10:38:54.350Z"
"70","43.608384","3.879452","85.93875885009766","176.0","1.1884","2014-04-10T10:38:59.906Z"
"71","43.608313","3.879465","85.16397857666016","165.0","1.2338","2014-04-10T10:39:04.913Z"
"72","43.608245","3.879523","84.62277221679688","161.0","0.0","2014-04-10T10:39:14.310Z"
"73","43.608224","3.879562","85.37391662597656","159.0","0.0","2014-04-10T10:39:20.310Z"
"74","43.60822","3.879622","85.81043243408203","118.0","0.0","2014-04-10T10:39:24.955Z"
"75","43.608263","3.87967","86.16571044921875","32.0","1.5262","2014-04-10T10:39:30.031Z"
"76","43.608266","3.879738","86.70142364501953","114.0","1.4206","2014-04-10T10:39:35.328Z"
"77","43.608273","3.879802","87.94538116455078","91.0","1.1729","2014-04-10T10:39:40.962Z"
"78","43.608246","3.879892","88.8212890625","151.0","1.3606","2014-04-10T10:39:45.920Z"
"79","43.6082","3.879962","89.20468139648438","147.0","1.4059","2014-04-10T10:39:51.914Z"
"80","43.608164","3.880006","0.0","0.0","0.0","2014-04-10T10:39:57.288Z"
"81","43.608168","3.879992","0.0","0.0","0.0","2014-04-10T10:40:08.184Z"
"82","43.608178","3.879944","0.0","0.0","0.0","2014-04-10T10:40:14.226Z"
"83","43.608112","3.88013","0.0","0.0","0.0","2014-04-10T10:40:36.684Z"
"84","43.608111","3.880144","0.0","0.0","0.0","2014-04-10T10:40:41.916Z"
"85","43.608108","3.880192","0.0","0.0","0.0","2014-04-10T10:40:46.922Z"
"86","43.608099","3.880199","0.0","0.0","0.0","2014-04-10T10:41:02.927Z"
"87","43.6081","3.880224","0.0","0.0","0.0","2014-04-10T10:41:08.918Z"
"88","43.608099","3.880244","0.0","0.0","0.0","2014-04-10T10:41:20.075Z"
"89","43.608097","3.880278","0.0","0.0","0.0","2014-04-10T10:41:24.977Z"
"90","43.608087","3.880332","0.0","0.0","0.0","2014-04-10T10:41:29.979Z"
"91","43.608091","3.880395","0.0","0.0","0.0","2014-04-10T10:41:35.965Z"
"92","43.608091","3.880418","0.0","0.0","0.0","2014-04-10T10:41:40.963Z"
"93","43.608083","3.88044","0.0","0.0","0.0","2014-04-10T10:41:46.010Z"
"94","43.608084","3.880453","0.0","0.0","0.0","2014-04-10T10:41:56.913Z"
"95","43.608087","3.880465","0.0","0.0","0.0","2014-04-10T10:42:01.917Z"
"96","43.608092","3.880485","0.0","0.0","0.0","2014-04-10T10:42:35.913Z"
